#separator:tab
#html:true
#tags column:11
pollard	a tree cut back to the trunk to promote the growth of a dense head of foliage					noun			poll
solicitude	1) the state of being concerned and anxious<br>2) attentive care and protectiveness<br>3) a cause of care or concern <br>					noun			
inveigle	1) to win over by wiles <b>:</b> entice<br>2) to acquire by ingenuity or flattery <b>:</b> wangle <br>					verb			Anglo-French <em>enveegler, aveogler, avogler</em> to blind, hoodwink, from <em>avogle, enveugle</em> blind, from Medieval Latin <em>ab oculis</em>, literally, lacking eyes
farouche	1) wild<br>2) marked by shyness and lack of social graces<br>					adjective			French, wild, shy, from Old French, alteration of <em>forasche</em>, from Late Latin <em>forasticus</em> living outside, from Latin <em>foras</em> outdoors; akin to Latin <em>fores</em> door 
elan	vigorous spirit or enthusiasm					noun			French, from Middle French <em>eslan</em> rush, from (<em>s'</em>)<em>eslancer</em> to rush, from <em>ex-</em> + <em>lancer</em> to hurl 
insouciance	lighthearted unconcern <b>:</b> nonchalance					noun			French, from <em>in-</em> + <em>soucier</em> to trouble, disturb, from Old French, from Latin <em>sollicitare</em> 
anachronism	1) an error in chronology<br>2) a person or a thing that is chronologically out of place<br>3) the state or condition of being chronologically out of place<br>					noun			probably from Middle Greek <em>anachronismos</em>, from <em>anachronizesthai</em> to be an anachronism, from Late Greek <em>anachronizein</em> to be late, from Greek <em>ana-</em> + <em>chronos</em> time
sobriquet	a descriptive name or epithet <b>:</b> nickname					noun			French
primogeniture	1) the state of being the firstborn of the children of the same parents<br>2) an exclusive right of inheritance belonging to the eldest son<br>					noun			borrowed from Middle French & Late Latin; Middle French, borrowed from Late Latin <em>prīmogenitūra,</em> from <em>prīmogenitus</em> "firstborn" (from Latin <em>prīmus</em> "first, earliest" + <em>-o-</em> -o- —for expected <em>-i-</em> -i- — + <em>genitus,</em> past participle of <em>gignere</em> "to bring into being, beget, give birth to") + Latin <em>-ūra</em> -ure 
MacGuffin	an object, event, or character in a film or story that serves to set and keep the plot in motion despite usually lacking intrinsic importance					noun			coined by Alfred Hitchcock
obeisance	1) a movement of the body made in token of respect or submission <b>:</b> bow <br>2) acknowledgment of another's superiority or importance <b>:</b> homage <br>					noun			Middle English <em>obeissance, obeysaunce</em> "obedience, submission, gesture indicating submission," borrowed from Anglo-French <em>obeissaunce</em>, from <em>obeis</em>ant "willing to obey" (from present participle of <em>obeir</em> "to submit to the authority of, obey") + <em>-aunce</em> -ance 
yare	1) set for action <b>:</b> ready<br>2) characterized by speed and agility <b>:</b> nimble, lively<br>3) handy, maneuverable<br>					adjective			Middle English, from Old English <em>gearu</em>; akin to Old High German <em>garo</em> ready
morass	1) marsh, swamp<br>2) a situation that traps, confuses, or impedes <br>3) an overwhelming or confusing mass or mixture <br>					noun			Dutch <em>moeras</em>, modification of Old French <em>maresc</em>, of Germanic origin; akin to Old English <em>mersc</em> marsh 
hauteur	arrogance, haughtiness					noun			French, from <em>haut</em> high 
phalanx	1) a body of heavily armed infantry in ancient Greece formed in close deep ranks and files<br>2) one of the digital bones of the hand or foot of a vertebrate<br>3) a massed arrangement of persons, animals, or things <br>4) an organized body of persons <br>					noun			Latin <em>phalang-, phalanx</em>, from Greek, battle line, digital bone, literally, log 
charnel	a building or chamber in which bodies or bones are deposited 					noun			Middle English, from Anglo-French <em>carnel, charnel</em>, probably alteration of <em>charner</em>, from Medieval Latin <em>carnarium</em>, from Latin <em>carn-, caro</em> flesh 
baldric	an often ornamented belt worn over one shoulder to support a sword or bugle					noun			Middle English <em>baudry, baudrik</em>, from Middle French <em>baudré</em>, from Old French <em>baldrei</em>
inexorable	not to be persuaded, moved, or stopped <b>:</b> relentless 					adjective			Latin <em>inexorabilis</em>, from <em>in-</em> + <em>exorabilis</em> pliant, from <em>exorare</em> to prevail upon, from <em>ex-</em> + <em>orare</em> to speak 
invigilate	to keep watch					verb			Latin <em>invigilatus</em>, past participle of <em>invigilare</em> to stay awake, be watchful, from <em>in-</em> + <em>vigilare</em> to stay awake 
excoriate	1) to wear off the skin of <b>:</b> abrade<br>2) to censure scathingly<br>					verb			Middle English, from Late Latin <em>excoriatus</em>, past participle of <em>excoriare</em>, from Latin <em>ex-</em> + <em>corium</em> skin, hide 
scrofulous	1) of, relating to, or affected with scrofula<br>2) having a diseased run-down appearance<br>3) morally contaminated <br>					adjective			
badinage	playful repartee <b>:</b> banter					noun			borrowed from French, going back to Middle French, "foolishness, stupidity," from <em>badiner</em> "to banter, jest, play the fool" (verbal derivative of <em>badin</em> "silly, foolish," as noun, "fool, simpleton," borrowed from Occitan, from <em>badar</em> "to have the mouth wide open, gape"—going back to Vulgar Latin <em>*batāre</em>, perhaps of imitative origin—+ <em>-in</em>, adjective suffix) + <em>-age</em> -age
sophistry	1) subtly deceptive reasoning or argumentation<br>2) sophism<br>					noun			
effete	1) no longer fertile<br>2) having lost character, vitality, or strength <br>3) marked by weakness or decadence <br>4) soft or delicate from or as if from a pampered existence <br>5) effeminate <br>					adjective			Latin <em>effetus</em>, from <em>ex-</em> + <em>fetus</em> fruitful 
dolce far niente	pleasant relaxation in carefree idleness					noun			Italian, literally, sweet doing nothing
